State,Obesity_Pct,Median_Household_Income,Medicaid_Covers_GLP1,Weeks_Income_for_Wegovy
Alabama,38.9,66659.0,False,1.05234101921721
Alaska,34.0,95665.0,False,0.7332671300893744
Arizona,33.3,81486.0,False,0.8608595341531061
Arkansas,38.9,62106.0,False,1.1294882942066788
California,29.1,100149.0,True,0.7004363498387403
Colorado,25.0,97113.0,True,0.7223337761164829
Connecticut,32.0,96049.0,True,0.7303355578923258
Delaware,36.6,87534.0,False,0.8013800351863276
District of Columbia,25.5,109707.0,False,0.6394122526365683
Florida,29.6,77735.0,False,0.9023991766900367
Georgia,35.4,79991.0,False,0.8769486567238814
Guam,40.2,,False,
Hawaii,27.0,100745.0,True,0.6962926199811404
Idaho,32.7,81166.0,False,0.86425350516226
Illinois,34.2,83211.0,False,0.8430135438824193
Indiana,38.4,71959.0,False,0.9748328909517919
Iowa,36.6,75501.0,False,0.9291002768175256
Kansas,37.6,75514.0,False,0.9289403289456261
Kentucky,37.2,64526.0,False,1.0871276694665715
Louisiana,39.2,60986.0,False,1.1502312006034172
Maine,33.2,76442.0,False,0.917663064807305
Maryland,32.7,102905.0,True,0.681677275156698
Massachusetts,27.0,104828.0,True,0.6691723585301637
Michigan,36.1,72389.0,False,0.9690422578015997
Minnesota,32.3,87117.0,True,0.8052159739201304
Mississippi,40.4,59127.0,False,1.186395386202581
Missouri,34.6,71589.0,False,0.979871209263993
Montana,31.0,75340.0,True,0.9310857446243695
Nebraska,37.6,76376.0,False,0.9184560594951294
Nevada,34.2,81134.0,True,0.8645943747380876
New Hampshire,31.1,99782.0,False,0.7030125673969253
New Jersey,27.7,104294.0,False,0.6725986154524709
New Mexico,34.5,67816.0,True,1.0343871652707326
New York,29.5,85820.0,True,0.8173852248893031
North Carolina,34.5,73958.0,False,0.9484842748587036
North Dakota,36.8,77871.0,False,0.9008231562455857
Ohio,36.9,72212.0,False,0.9714174929374619
Oklahoma,36.8,66148.0,False,1.060470460180202
Oregon,33.5,85220.0,True,0.8231401079558789
Pennsylvania,34.2,77545.0,False,0.9046102263202012
Puerto Rico,36.2,27213.0,False,2.577738580825341
Rhode Island,31.1,83504.0,False,0.8400555662004215
South Carolina,34.6,72350.0,False,0.9695646164478231
South Dakota,37.0,76881.0,False,0.9124230954332019
Tennessee,Insufficient data*,71997.0,False,0.9743183743767101
Texas,35.6,79721.0,False,0.879918716523877
Utah,31.0,96658.0,False,0.7257340313269465
Vermont,29.0,82730.0,False,0.8479149039042668
Virgin Islands,37.7,,False,
Virginia,32.3,92090.0,False,0.7617330871973069
Washington,31.5,99389.0,True,0.7057923915121391
West Virginia,41.4,60798.0,False,1.1537879535511038
Wisconsin,37.4,77488.0,False,0.9052756555853809
Wyoming,32.5,75532.0,False,0.9287189535561088
