"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than H.S.","Education Attained","67","36.3","26.9","45.8","2,783","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","EDUCA1","CAT5","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","H.S. or G.E.D.","Education Attained","453","33.0","29.3","36.7","2,787","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","EDUCA2","CAT5","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Some post-H.S.","Education Attained","536","37.4","33.7","41.1","2,791","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","EDUCA3","CAT5","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","College graduate","Education Attained","625","30.6","27.7","33.5","2,795","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","EDUCA4","CAT5","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than H.S.","Education Attained","125","36.7","30.1","43.3","2,783","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","01","EDUCA1","CAT5","_BMI5CAT","RESP039","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","H.S. or G.E.D.","Education Attained","524","39.9","36.5","43.3","2,787","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","01","EDUCA2","CAT5","_BMI5CAT","RESP039","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Some post-H.S.","Education Attained","621","41.3","38.2","44.4","2,791","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","01","EDUCA3","CAT5","_BMI5CAT","RESP039","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","College graduate","Education Attained","570","35.9","33.1","38.7","2,795","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","01","EDUCA4","CAT5","_BMI5CAT","RESP039","    (32.84057112200048, -86.63186076199969)"
"2024","AR","Arkansas","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than H.S.","Education Attained","124","37.6","31.1","44.0","2,783","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","05","EDUCA1","CAT5","_BMI5CAT","RESP039","    (34.74865012400045, -92.27449074299966)"
"2024","AR","Arkansas","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","H.S. or G.E.D.","Education Attained","600","40.1","37.0","43.2","2,787","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","05","EDUCA2","CAT5","_BMI5CAT","RESP039","    (34.74865012400045, -92.27449074299966)"
"2024","AR","Arkansas","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Some post-H.S.","Education Attained","513","40.8","37.5","44.1","2,791","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","05","EDUCA3","CAT5","_BMI5CAT","RESP039","    (34.74865012400045, -92.27449074299966)"
"2024","AR","Arkansas","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","College graduate","Education Attained","567","35.3","32.5","38.2","2,795","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","05","EDUCA4","CAT5","_BMI5CAT","RESP039","    (34.74865012400045, -92.27449074299966)"
"2024","AZ","Arizona","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than H.S.","Education Attained","167","39.5","31.5","47.6","2,783","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","04","EDUCA1","CAT5","_BMI5CAT","RESP039","    (34.865970280000454, -111.76381127699972)"
"2024","AZ","Arizona","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","H.S. or G.E.D.","Education Attained","627","35.2","31.2","39.1","2,787","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","04","EDUCA2","CAT5","_BMI5CAT","RESP039","    (34.865970280000454, -111.76381127699972)"
"2024","AZ","Arizona","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Some post-H.S.","Education Attained","809","36.5","33.1","39.8","2,791","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","04","EDUCA3","CAT5","_BMI5CAT","RESP039","    (34.865970280000454, -111.76381127699972)"
"2024","AZ","Arizona","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","College graduate","Education Attained","805","25.7","23.0","28.5","2,795","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","04","EDUCA4","CAT5","_BMI5CAT","RESP039","    (34.865970280000454, -111.76381127699972)"
"2024","CA","California","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than H.S.","Education Attained","262","39.9","35.1","44.7","2,783","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","06","EDUCA1","CAT5","_BMI5CAT","RESP039","    (37.63864012300047, -120.99999953799971)"
"2024","CA","California","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","H.S. or G.E.D.","Education Attained","488","31.9","28.7","35.0","2,787","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","06","EDUCA2","CAT5","_BMI5CAT","RESP039","    (37.63864012300047, -120.99999953799971)"
"2024","CA","California","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Some post-H.S.","Education Attained","600","31.6","28.7","34.5","2,791","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","06","EDUCA3","CAT5","_BMI5CAT","RESP039","    (37.63864012300047, -120.99999953799971)"
"2024","CA","California","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","College graduate","Education Attained","766","20.5","18.6","22.5","2,795","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","06","EDUCA4","CAT5","_BMI5CAT","RESP039","    (37.63864012300047, -120.99999953799971)"
"2024","CO","Colorado","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than H.S.","Education Attained","135","29.6","24.9","34.3","2,783","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","08","EDUCA1","CAT5","_BMI5CAT","RESP039","    (38.843840757000464, -106.13361092099967)"
