"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than $15,000","Household Income","63","33.3","22.6","43.9","2,799","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","INCOME01","CAT6","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$15,000-$24,999","Household Income","114","34.4","26.2","42.5","2,803","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","INCOME02","CAT6","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$25,000-$34,999","Household Income","136","39.1","31.4","46.7","2,807","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","INCOME03","CAT6","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$35,000-$49,999","Household Income","148","30.4","23.9","36.8","2,811","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","INCOME04","CAT6","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$50,000-$99,999","Household Income","485","33.3","29.5","37.1","2,815","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","INCOME05","CAT6","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$100,000-$199,999","Household Income","410","38.3","34.4","42.3","2,819","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","INCOME06","CAT6","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$200,000+","Household Income","126","36.6","29.6","43.6","2,823","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","02","INCOME07","CAT6","_BMI5CAT","RESP039","    (64.84507995700051, -147.72205903599973)"
"2024","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Less than $15,000","Household Income","88","41.4","33.1","49.8","2,799","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","01","INCOME01","CAT6","_BMI5CAT","RESP039","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$15,000-$24,999","Household Income","176","38.8","32.7","44.9","2,803","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","01","INCOME02","CAT6","_BMI5CAT","RESP039","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","$25,000-$34,999","Household Income","170","45.9","39.0","52.8","2,807","%","Crude Prevalence",,,"BRFSS","CLASS14","TOPIC09","01","INCOME03","CAT6","_BMI5CAT","RESP039","    (32.84057112200048, -86.63186076199969)"
