category,metric,value,unit,source,year,notes
# OBESITY PREVALENCE
prevalence,national_adult_obesity_rate,41.4,percent,CDC NHANES,2023,Self-reported BMI >= 30
prevalence,states_over_40_pct,3,count,CDC BRFSS,2024,"AR, MS, WV"
prevalence,midwest_regional_rate,36.0,percent,CDC BRFSS,2024,
prevalence,south_regional_rate,34.7,percent,CDC BRFSS,2024,
prevalence,west_regional_rate,29.1,percent,CDC BRFSS,2024,
prevalence,northeast_regional_rate,28.6,percent,CDC BRFSS,2024,
prevalence,age_40_59_rate,46.4,percent,CDC BRFSS,2024,Highest age group
prevalence,severe_obesity_class_III,9.2,percent,CDC NHANES,2023,BMI >= 40

# DRUG PRICING - U.S.
pricing,wegovy_list_monthly,1349,usd,Novo Nordisk,2025,Weight loss indication
pricing,ozempic_list_monthly,969,usd,Novo Nordisk,2025,Diabetes indication
pricing,zepbound_list_monthly,1059,usd,Eli Lilly,2025,Weight loss indication
pricing,mounjaro_list_monthly,1023,usd,Eli Lilly,2025,Diabetes indication
pricing,wegovy_cash_costco,499,usd,Costco,2025,Cash pay program
pricing,zepbound_cash_lilly,550,usd,LillyDirect,2025,Cash pay program
pricing,wegovy_annual_list,16188,usd,Calculated,2025,$1349 x 12

# DRUG PRICING - INTERNATIONAL (Wegovy monthly)
pricing_intl,wegovy_germany,328,usd,Peterson-KFF,2024,
pricing_intl,wegovy_netherlands,296,usd,Peterson-KFF,2024,
pricing_intl,wegovy_uk,300,usd,Peterson-KFF,2024,Estimated
pricing_intl,wegovy_denmark,190,usd,Peterson-KFF,2024,Country of origin
pricing_intl,us_vs_germany_ratio,4.1,multiple,Calculated,2024,$1349 / $328

# COVERAGE - MEDICARE
coverage,medicare_weight_loss_banned,1,boolean,CMS,2025,SSA 1927(d)(2) exclusion
coverage,medicare_cvd_eligible_millions,3.6,millions,KFF,2024,Post-March 2024 approval
coverage,prior_auth_rate_2023q3,15,percent,CMS Formulary,2023,
coverage,prior_auth_rate_2024q3,83,percent,CMS Formulary,2024,Sharp increase
coverage,balance_medicaid_start,2026.417,date,CMS,2025,May 2026
